Input,Angle,Speed
-0.10000000149011612,-34.431854248046875,-25.977447509765625
-0.10000000149011612,-34.68318176269531,-25.98539161682129
-0.10000000149011612,-34.950218200683594,-25.992374420166016
-0.10000000149011612,-35.20154571533203,-26.00068473815918
-0.10000000149011612,-35.46858215332031,-26.007993698120117
-0.10000000149011612,-35.71990966796875,-26.01447105407715
-0.10000000149011612,-35.986942291259766,-26.022422790527344
-0.10000000149011612,-36.2382698059082,-26.029539108276367
-0.10000000149011612,-36.505306243896484,-26.0360107421875
-0.10000000149011612,-36.772342681884766,-26.04416275024414
-0.10000000149011612,-37.0236701965332,-26.051706314086914
-0.10000000149011612,-37.290706634521484,-26.058853149414062
-0.10000000149011612,-37.542030334472656,-26.06581687927246
-0.10000000149011612,-37.80906677246094,-26.072450637817383
-0.10000000149011612,-38.060394287109375,-26.078601837158203
-0.10000000149011612,-38.327430725097656,-26.084491729736328
-0.10000000149011612,-38.59446716308594,-26.090343475341797
-0.10000000149011612,-38.845794677734375,-26.098512649536133
-0.10000000149011612,-39.11282730102539,-26.104248046875
-0.10000000149011612,-39.37986373901367,-26.109912872314453
-0.10000000149011612,-39.64690017700195,-26.115739822387695
-0.10000000149011612,-39.89822769165039,-26.121599197387695
-0.10000000149011612,-40.165260314941406,-26.127365112304688
-0.10000000149011612,-40.416587829589844,-26.130783081054688
-0.10000000149011612,-40.683624267578125,-26.13421058654785
-0.10000000149011612,-40.950660705566406,-26.1400146484375
-0.10000000149011612,-41.201988220214844,-26.143451690673828
-0.10000000149011612,-41.469024658203125,-26.14902687072754
-0.10000000149011612,-41.72035217285156,-26.154504776000977
-0.10000000149011612,-41.98738479614258,-26.157649993896484
-0.10000000149011612,-42.25442123413086,-26.16084861755371
-0.10000000149011612,-42.5057487487793,-26.16649055480957
-0.10000000149011612,-42.77278518676758,-26.169858932495117
-0.10000000149011612,-43.039817810058594,-26.173351287841797
-0.10000000149011612,-43.29114532470703,-26.179372787475586
-0.10000000149011612,-43.55818176269531,-26.183218002319336
-0.10000000149011612,-43.80950927734375,-26.187301635742188
-0.10000000149011612,-44.07654571533203,-26.189411163330078
-0.10000000149011612,-44.34358215332031,-26.191951751708984
-0.10000000149011612,-44.61061477661133,-26.197336196899414
-0.10000000149011612,-44.861942291259766,-26.200868606567383
-0.10000000149011612,-45.12897872924805,-26.204973220825195
-0.10000000149011612,-45.39601516723633,-26.207443237304688
-0.10000000149011612,-45.663047790527344,-26.2103328704834
-0.10000000149011612,-45.91437530517578,-26.21356201171875
-0.10000000149011612,-46.18141174316406,-26.214927673339844
